"","X","teamRslt","teamAST","teamTO","teamSTL","teamBLK","teamPF","teamFG.","team2P.","team3P.","teamFT.","teamTRB","opptAST","opptTO","opptSTL","opptBLK","opptPF","opptFG.","oppt2P.","oppt3P.","opptFT.","opptTRB"
"8433",8433,"Win",18,18,4,5,27,0.4459,0.4894,0.3704,0.6389,47,23,10,5,5,28,0.3736,0.4444,0.2143,0.7407,39
"8434",8434,"Loss",23,10,5,5,28,0.3736,0.4444,0.2143,0.7407,39,18,18,4,5,27,0.4459,0.4894,0.3704,0.6389,47
"8435",8435,"Win",16,17,12,7,15,0.4375,0.5345,0.1818,0.9444,49,18,19,8,4,18,0.3974,0.4194,0.3125,0.5833,39
"8436",8436,"Loss",18,19,8,4,18,0.3974,0.4194,0.3125,0.5833,39,16,17,12,7,15,0.4375,0.5345,0.1818,0.9444,49
"8437",8437,"Win",21,11,3,7,19,0.358,0.3443,0.4,0.7059,46,23,11,5,5,19,0.3836,0.4032,0.2727,0.75,40
"8438",8438,"Loss",23,11,5,5,19,0.3836,0.4032,0.2727,0.75,40,21,11,3,7,19,0.358,0.3443,0.4,0.7059,46
"8439",8439,"Win",22,10,7,6,18,0.4253,0.5085,0.25,0.8636,52,22,10,7,5,18,0.3696,0.4355,0.2333,0.8,51
"8440",8440,"Loss",22,10,7,5,18,0.3696,0.4355,0.2333,0.8,51,22,10,7,6,18,0.4253,0.5085,0.25,0.8636,52
"8441",8441,"Loss",21,19,8,3,17,0.4684,0.4918,0.3889,0.9444,34,34,13,10,2,21,0.6047,0.6615,0.4286,0.7692,38
"8442",8442,"Win",34,13,10,2,21,0.6047,0.6615,0.4286,0.7692,38,21,19,8,3,17,0.4684,0.4918,0.3889,0.9444,34
"8443",8443,"Loss",20,13,9,5,15,0.4368,0.4576,0.3929,0.6818,44,25,12,11,2,21,0.4881,0.4314,0.5758,0.7692,39
"8444",8444,"Win",25,12,11,2,21,0.4881,0.4314,0.5758,0.7692,39,20,13,9,5,15,0.4368,0.4576,0.3929,0.6818,44
"8445",8445,"Loss",21,8,9,4,24,0.3889,0.4058,0.3333,0.7083,39,20,16,3,6,23,0.4578,0.4545,0.4706,0.8485,52
"8446",8446,"Win",20,16,3,6,23,0.4578,0.4545,0.4706,0.8485,52,21,8,9,4,24,0.3889,0.4058,0.3333,0.7083,39
"8447",8447,"Win",24,10,7,6,22,0.506,0.5167,0.4783,0.8235,42,21,14,5,4,18,0.4419,0.4833,0.3462,0.5652,49
"8448",8448,"Loss",21,14,5,4,18,0.4419,0.4833,0.3462,0.5652,49,24,10,7,6,22,0.506,0.5167,0.4783,0.8235,42
"8449",8449,"Win",36,17,18,6,23,0.5326,0.5902,0.4194,0.7895,48,21,22,9,4,17,0.4535,0.5,0.2778,0.6,43
"8450",8450,"Loss",21,22,9,4,17,0.4535,0.5,0.2778,0.6,43,36,17,18,6,23,0.5326,0.5902,0.4194,0.7895,48
"8451",8451,"Loss",17,11,11,3,19,0.3571,0.411,0.2,0.7727,51,23,16,4,5,18,0.4149,0.4167,0.4091,0.8235,54
"8452",8452,"Win",23,16,4,5,18,0.4149,0.4167,0.4091,0.8235,54,17,11,11,3,19,0.3571,0.411,0.2,0.7727,51
"8453",8453,"Loss",25,19,9,5,17,0.4872,0.62,0.25,0.6471,35,15,16,11,3,16,0.52,0.6154,0.3043,0.6923,41
"8454",8454,"Win",15,16,11,3,16,0.52,0.6154,0.3043,0.6923,41,25,19,9,5,17,0.4872,0.62,0.25,0.6471,35
"8455",8455,"Loss",20,19,10,4,26,0.5467,0.6471,0.3333,0.8621,33,32,15,9,5,20,0.5529,0.6406,0.2857,0.6667,36
"8456",8456,"Win",32,15,9,5,20,0.5529,0.6406,0.2857,0.6667,36,20,19,10,4,26,0.5467,0.6471,0.3333,0.8621,33
"8457",8457,"Win",11,23,7,13,18,0.4533,0.4754,0.3571,0.9231,47,18,19,9,9,22,0.3929,0.4237,0.32,0.9333,35
"8458",8458,"Loss",18,19,9,9,22,0.3929,0.4237,0.32,0.9333,35,11,23,7,13,18,0.4533,0.4754,0.3571,0.9231,47
"8459",8459,"Win",25,14,7,4,22,0.3976,0.3571,0.4815,0.6667,49,17,16,4,2,14,0.3973,0.4314,0.3182,0.6,41
"8460",8460,"Loss",17,16,4,2,14,0.3973,0.4314,0.3182,0.6,41,25,14,7,4,22,0.3976,0.3571,0.4815,0.6667,49
"8461",8461,"Loss",19,18,2,4,24,0.3678,0.4118,0.2105,0.8421,59,14,8,10,6,19,0.3659,0.3438,0.4444,0.7667,43
"8462",8462,"Win",14,8,10,6,19,0.3659,0.3438,0.4444,0.7667,43,19,18,2,4,24,0.3678,0.4118,0.2105,0.8421,59
"8463",8463,"Loss",27,16,6,5,21,0.4167,0.525,0.3182,0.6875,42,24,15,11,4,20,0.4625,0.4648,0.4444,0.6207,43
"8464",8464,"Win",24,15,11,4,20,0.4625,0.4648,0.4444,0.6207,43,27,16,6,5,21,0.4167,0.525,0.3182,0.6875,42
"8465",8465,"Win",23,12,8,5,19,0.5309,0.5556,0.4815,0.8966,43,24,13,8,2,21,0.4557,0.4603,0.4375,0.7692,33
"8466",8466,"Loss",24,13,8,2,21,0.4557,0.4603,0.4375,0.7692,33,23,12,8,5,19,0.5309,0.5556,0.4815,0.8966,43
